student_id,prior_failures,study_time,absences,parent_edu,family_support,health,internet,activities,travel_time,age,paid_support,at_risk,gpa_estimate,engagement_score,risk_score
29,0,4,1,1,1,3,1,0,4,20,0,1,4.0,1.0,0.6983913298750702
30,0,1,0,4,2,3,0,0,4,16,0,0,4.0,0.6,0.2940398916124983
31,0,5,0,3,4,4,0,1,1,18,0,0,4.0,2.2,0.17529924216800868
32,0,6,1,2,1,3,0,1,3,17,0,1,4.0,1.8,0.5575883928603935
33,0,3,1,3,2,4,1,1,1,16,1,0,3.7193470095580494,1.4,0.4809852489730165
34,1,6,3,2,4,1,0,1,1,17,1,1,3.9675014186589665,2.4,0.5491786304726154
35,1,3,1,4,3,1,0,1,1,18,0,1,3.980670204912375,1.6,0.7281315407115476
36,0,5,0,4,2,1,1,1,3,16,0,0,4.0,1.8,0.43407092674502223
37,0,0,2,1,4,2,1,0,3,16,0,1,3.3917654148031593,0.8,0.8178129820313682
38,0,8,7,4,1,2,1,1,4,16,0,1,3.719680129471292,2.2,0.7822743317948406
39,0,6,0,4,1,2,1,1,3,18,1,1,3.7277298254204974,1.8,0.6034605754752873
40,0,3,3,1,2,3,0,1,3,16,0,0,4.0,1.4,0.0983460436333804
41,0,0,2,1,3,3,0,1,3,16,1,1,4.0,1.0,0.6054602151618756
42,0,4,4,2,2,4,1,1,2,20,1,0,4.0,1.6,0.278076474628574
43,0,1,0,4,1,2,1,0,4,16,0,1,3.6745153907501606,0.4,0.8570778001073849
44,1,4,8,1,4,3,1,1,3,17,0,1,3.659770739858401,2.0,0.6776255812343842
45,0,4,2,2,3,1,0,0,1,19,0,0,3.491794869297555,1.4,0.4030162430206538
46,0,2,5,2,4,1,1,0,2,16,1,0,3.619307463503009,1.2,0.17580820008618553
47,0,6,0,3,2,3,0,0,2,16,0,0,4.0,1.6,0.0984410324982839
48,0,5,4,1,2,1,1,0,4,16,1,0,4.0,1.4,0.20675775032001742
49,0,5,4,3,4,1,0,1,2,19,0,0,4.0,2.2,0.352949060869065
50,0,4,1,2,4,4,0,0,2,17,0,0,3.7949147266768577,1.6,0.16182837372887132
51,1,1,1,4,4,1,1,1,4,17,0,1,3.817611779811995,1.4,0.5404181765249181
52,0,5,3,1,2,2,1,0,3,17,1,0,3.9713831959751094,1.4,0.05789544973414701
53,1,3,0,1,4,3,1,1,4,19,0,1,4.0,1.8,0.5091842178778494
54,1,1,3,2,1,3,0,1,1,20,1,1,3.542014538107114,0.8,0.9552268089785116
55,0,6,0,1,4,2,0,1,3,23,1,0,3.4496364648387883,2.4,0.35979552299358836
56,1,8,0,2,1,1,1,0,3,17,0,0,3.8850322119067724,1.8,0.26892134664309203
57,0,3,3,1,1,4,1,1,2,21,0,1,4.0,1.2,0.6629062127349374
58,0,8,0,1,4,4,0,0,3,19,1,0,3.733045608548929,2.4,0.35914366744733867
59,0,4,10,4,3,2,1,0,2,18,1,0,3.802049716068155,1.4,0.318845995672388
60,0,3,6,2,3,1,1,1,3,16,1,0,3.9981781839713264,1.6,0.07137535204014517
61,0,2,2,3,3,2,0,0,4,17,0,0,3.8661802419184412,1.0,0.4574851853314243
62,0,7,5,4,1,4,0,1,2,17,0,1,3.6168653957226105,2.0,0.6735183821912201
63,0,2,6,2,3,1,0,1,4,18,0,0,3.880087387815346,1.4,0.47876851471370185
64,0,5,0,1,3,2,0,1,2,17,0,0,4.0,2.0,0.4017423613021192
65,0,2,5,2,4,2,0,0,2,16,0,0,3.841514508887655,1.2,0.12614286876506925
66,0,3,0,2,2,1,1,1,2,22,0,0,4.0,1.4,0.49274908545058677
67,0,6,1,4,1,4,0,1,3,20,1,1,3.935559658158951,1.8,0.7549882241550794
68,0,3,2,2,2,1,0,0,3,16,0,0,3.60947991270497,1.0,0.4022960484861526
69,0,3,3,1,1,4,1,0,4,17,1,0,3.938091156814673,0.8,0.466076801053909
70,2,6,0,3,1,3,1,0,1,19,1,1,3.2664249486621717,1.4,0.8802615585134775
71,0,7,1,3,3,4,0,0,4,20,0,0,4.0,2.0,0.3100155747569376
72,0,5,2,1,4,4,0,1,1,17,1,0,4.0,2.2,0.3273646294527317
73,0,2,1,3,2,3,0,0,2,17,0,0,4.0,0.8,0.29172859242235993
74,0,2,4,4,2,2,0,0,1,18,1,0,3.7394494302755388,0.8,0.09282669775887725
75,0,4,3,2,3,2,1,0,1,19,0,0,3.621159310704794,1.4,0.1459598324330451
76,0,4,0,2,2,4,1,0,2,16,0,0,3.545890783977336,1.2,0.053622680595774186
77,0,2,0,3,2,3,0,1,4,16,1,0,4.0,1.2,0.21783823610527298
78,0,5,2,3,1,3,1,0,2,20,1,1,3.7672501933947027,1.2,0.845707511837545
79,0,4,1,3,4,1,1,0,2,16,0,0,3.6561209392924963,1.6,0.08760094203419111
80,0,0,0,4,4,4,0,1,1,22,1,1,4.0,1.2,0.967642188251186
81,0,2,1,2,2,3,1,0,2,16,1,0,4.0,0.8,0.21161076177542032
82,0,2,1,2,2,2,0,1,4,17,1,0,4.0,1.2,0.04629494397285072
83,0,3,0,1,1,3,1,0,1,18,1,1,4.0,0.8,0.8679903025608995
84,0,7,2,1,3,3,0,1,4,16,1,0,4.0,2.4,0.4500552299528375
85,0,4,4,4,1,3,0,1,2,23,0,1,3.909888731305772,1.4,0.9606450179502831
86,0,2,2,2,3,3,0,0,4,17,0,0,4.0,1.0,0.4197090722820693
87,0,4,5,2,3,2,1,1,4,16,1,0,4.0,1.8,0.29447736991917767
88,0,3,0,1,1,3,1,1,2,16,1,1,4.0,1.2,0.5594864557513864
89,1,4,1,1,4,4,1,1,3,18,1,1,3.689558959097142,2.0,0.9108469720502148
90,0,5,2,2,1,3,0,1,4,18,0,1,4.0,1.6,0.7844177702752207
91,0,6,3,4,3,2,1,1,3,16,0,0,3.4214759709422036,2.2,0.4701648825875323
92,0,3,3,3,4,4,1,0,2,16,1,0,4.0,1.4,0.47031782921825027
93,0,7,3,4,4,3,0,0,3,20,0,0,4.0,2.2,0.34861331556533615
94,0,5,3,2,1,2,0,0,3,16,0,1,4.0,1.2,0.8448011135275653
95,0,2,0,3,4,4,0,0,3,16,0,0,3.6148344881417804,1.2,0.02741639518973643
96,0,8,3,4,4,3,1,1,3,17,1,0,3.5654258093935645,2.8,0.0948820736747622
97,0,4,3,4,1,3,0,0,4,17,0,1,3.776149171812475,1.0,0.9698076888965041
98,0,2,15,2,2,3,0,0,4,21,1,1,3.855941325384915,0.8,0.611465543071148
99,0,7,3,1,4,4,1,0,1,16,1,1,3.8936479030984814,2.2,0.5303345676120792
100,0,8,3,4,1,1,1,0,3,17,0,0,3.8470054801793316,1.8,0.37895943239353136
101,0,3,2,4,1,3,1,1,2,18,0,1,3.9209257033113456,1.2,0.740343930675196
102,0,2,6,1,2,2,0,1,4,16,1,0,3.2396054701290615,1.2,0.4389407935395707
103,0,3,17,4,4,1,0,0,3,18,0,1,3.95795386954559,1.4,0.5445631637568362
104,0,5,4,4,3,3,1,0,2,16,0,0,3.9090492963015513,1.6,0.3107234530847812
105,1,6,2,1,3,2,0,1,1,17,1,1,3.9653322719692223,2.2,0.5022725369207977
106,0,5,0,2,4,3,0,0,2,18,1,0,3.8572345047246204,1.8,0.028195440744676892
107,0,4,3,2,4,2,1,0,2,20,1,0,3.85839319179894,1.6,0.47378800274609706
108,0,6,3,2,1,3,1,0,3,16,0,1,4.0,1.4,0.5228603467414993
109,0,3,4,3,1,2,0,0,4,16,0,1,4.0,0.8,0.6205008919744004
110,0,6,0,2,3,2,1,0,2,21,1,1,4.0,1.8,0.8700163989097269
111,0,3,3,3,4,1,0,0,2,16,0,0,3.9577949725282537,1.4,0.15625918366217267
112,0,4,1,3,1,1,1,1,1,17,1,1,4.0,1.4,0.5020198587233129
113,1,3,4,3,3,4,1,1,4,21,0,1,3.669920985154425,1.6,0.5531945572475672
114,0,3,0,1,3,2,0,1,4,18,1,0,3.911837495066164,1.6,0.09479026927011203
115,0,3,3,3,2,2,0,0,4,17,0,0,3.393269065101809,1.0,0.25978347159520937
116,1,6,1,3,4,1,0,1,4,17,1,1,3.751779369512928,2.4,0.842435450185139
117,0,2,0,1,2,4,1,0,4,16,1,0,3.7267982796559185,0.8,0.36141319436175445
118,0,2,3,4,1,2,0,1,1,18,1,1,4.0,1.0,0.7521928568290289
119,1,8,0,4,1,3,1,1,4,16,0,1,3.4395612637678172,2.2,0.7538960450557017
120,0,5,3,3,3,3,0,1,4,19,0,0,3.799534960382575,2.0,0.4744380505122272
121,0,0,7,2,1,4,0,1,3,18,1,0,3.6834175595267307,0.6,0.208717878316882
122,1,2,10,4,2,2,0,1,1,18,0,1,3.7599724328872277,1.2,0.7863071242676974
123,0,0,0,2,4,2,0,0,1,21,0,1,3.9090336825463714,0.8,0.9718480733347834
124,0,2,4,1,3,1,0,1,4,16,1,0,4.0,1.4,0.08441887705126805
125,0,0,1,4,3,1,0,0,2,18,0,0,3.188931861456455,0.6,0.24146386750779214
126,0,3,6,1,1,2,0,0,3,19,0,1,4.0,0.8,0.9745352837065537
127,0,1,4,3,3,3,0,1,3,16,0,0,3.656905942542973,1.2,0.2850327613011961
128,0,4,0,4,3,1,1,0,2,19,1,0,4.0,1.4,0.07451503790236008
129,0,0,1,3,4,3,1,0,4,16,1,1,4.0,0.8,0.5252707795380165
130,0,4,1,3,3,3,1,1,4,18,0,0,4.0,1.8,0.3325342144697431
131,0,3,4,1,4,3,0,0,1,17,0,0,3.7146595345553513,1.4,0.3107059104148559
132,0,7,1,4,2,3,1,1,4,18,0,0,3.8883094074406372,2.2,0.3500974847010579
133,0,6,3,4,3,4,1,1,1,18,0,0,4.0,2.2,0.11151950507347036
134,0,5,2,4,2,4,0,1,1,17,1,0,3.9811850970341456,1.8,0.1688606705522025
135,1,3,11,3,4,1,0,1,3,17,0,1,3.3171983150684974,1.8,0.5138525536741099
136,0,7,8,4,3,2,1,1,2,16,1,0,4.0,2.4,0.028843500147571255
137,0,0,1,2,1,4,1,0,2,18,1,0,4.0,0.2,0.10324880094083527
138,0,1,3,2,1,2,1,1,1,18,1,1,3.8434735726481786,0.8,0.8096263465970981
139,0,3,5,3,3,1,1,1,3,16,0,0,4.0,1.6,0.07709664723211934
140,1,8,6,1,4,3,0,0,2,18,0,1,3.7083571585811974,2.4,0.9229397975751656
141,1,3,0,2,1,2,0,0,1,17,0,1,3.588760351344057,0.8,0.9587381516126401
142,0,3,1,1,2,4,1,0,1,21,1,0,4.0,1.0,0.4417375397421869
143,0,1,1,4,4,2,1,1,2,22,0,0,4.0,1.4,0.4854779677829015
144,0,5,1,2,4,4,1,1,2,20,1,0,3.825055811923593,2.2,0.4181562531617783
145,0,5,0,3,3,2,1,1,2,20,0,0,4.0,2.0,0.3561749161925998
146,0,5,2,3,2,4,0,0,3,19,0,0,3.983203378819453,1.4,0.4431205610818066
147,0,2,3,1,4,3,0,1,1,17,0,0,4.0,1.6,0.25059888176666384
148,0,2,2,3,3,2,1,0,4,16,1,0,4.0,1.0,0.14568877997298063
149,0,1,3,1,2,1,0,0,2,16,1,1,3.9818746530188185,0.6,0.8987048739672141
150,0,4,0,1,4,2,1,1,3,16,0,0,3.9975079031050615,2.0,0.20337933239107636
151,1,1,6,2,1,4,1,1,3,20,0,1,3.8428630496580114,0.8,0.6896036195305073
152,0,1,8,2,2,2,1,0,2,18,0,1,3.5900201554823226,0.6,0.5428848054216047
153,0,3,2,3,4,1,0,1,2,16,1,0,4.0,1.8,0.312537803610551
154,0,3,6,1,2,3,0,1,2,16,0,0,4.0,1.4,0.45114820080030427
155,2,2,0,2,1,2,1,0,2,22,0,1,3.5531741043364997,0.6,0.9345631789943523
156,0,4,4,4,4,3,1,0,3,19,1,0,3.4359903097620643,1.6,0.3271489460059618
157,0,4,0,3,1,3,0,1,2,19,1,0,3.5850870497035,1.4,0.017982951842232364
158,0,3,1,3,3,3,0,1,1,16,1,0,3.996303054304966,1.6,0.20372681730899506
159,0,4,1,4,3,4,1,0,1,17,0,0,3.7539160768438475,1.4,0.06491304748602877
160,0,2,2,4,4,2,1,1,2,17,1,0,4.0,1.6,0.27911198215857075
161,0,4,1,4,4,2,1,0,2,18,1,0,3.847728410331977,1.6,0.1977418371139567
162,0,4,3,2,2,1,1,0,3,21,1,1,4.0,1.2,0.865620688464537
163,0,0,1,4,4,3,0,1,1,16,1,0,4.0,1.2,0.30056730347833777
164,0,5,5,3,3,4,0,1,1,17,0,0,3.9569045260790268,2.0,0.09143300379846547
165,0,2,3,2,4,4,0,0,3,18,1,0,3.666457059035464,1.2,0.07676455782920044
166,0,4,0,1,2,1,0,1,2,17,1,0,4.0,1.6,0.05006493385947358
167,0,6,1,4,3,2,0,0,4,19,0,0,4.0,1.8,0.37129089810393795
168,0,5,5,3,4,2,0,0,3,16,0,1,4.0,1.8,0.9764654820086982
169,0,4,1,4,1,4,1,0,3,21,1,1,4.0,1.0,0.8686778732410735
170,0,3,2,1,1,4,0,1,4,16,1,1,3.6241510991327837,1.2,0.8463320709831015
171,0,5,3,2,1,1,1,0,1,16,1,1,4.0,1.2,0.8813709511433692
172,0,5,1,1,1,4,0,1,3,17,0,0,3.8081437897890282,1.6,0.02304855043547238
173,0,2,1,2,2,4,0,0,1,16,0,0,4.0,0.8,0.177437589173512
174,0,2,1,3,1,1,0,0,1,18,0,1,3.353321000125536,0.6,0.9983416370666762
175,0,0,0,3,1,3,0,0,3,18,0,0,4.0,0.2,0.024247616203951272
176,0,4,1,3,4,4,1,1,3,18,0,0,3.908753625001644,2.0,0.04084386830307024
177,0,3,0,1,1,2,1,1,2,16,0,1,3.636916396975921,1.2,0.7263794710333562
178,0,6,1,4,1,3,1,1,1,17,1,1,4.0,1.8,0.6171076154097774
179,1,4,1,4,4,4,0,1,3,18,0,1,3.8434925545266436,2.0,0.7384874912431327
180,0,6,9,1,3,3,0,1,1,20,0,0,4.0,2.2,0.12232922533101148
181,0,2,2,4,2,4,0,1,3,18,1,0,4.0,1.2,0.325605600932761
182,0,6,4,1,2,2,1,1,3,18,1,1,3.9709178790541464,2.0,0.9226174879147082
183,1,2,0,4,3,4,1,1,2,21,0,1,3.612231914022493,1.4,0.6053594450835205
184,1,5,0,2,4,2,0,1,2,16,1,1,3.352182499064596,2.2,0.9291831746541439
185,0,1,5,3,3,4,0,1,2,17,0,1,3.9158446918603884,1.2,0.7919961164185895
186,0,4,2,4,2,4,1,1,3,16,1,0,3.8265662723084666,1.6,0.4567689829689187
187,0,0,0,1,2,3,0,0,2,21,1,1,3.9974904320657507,0.4,0.7084729917005994
188,0,3,1,2,3,1,1,0,1,21,0,0,4.0,1.2,0.31038420920774706
189,0,4,2,4,1,2,0,1,1,21,0,1,4.0,1.4,0.8488179779061418
190,0,2,5,4,2,3,1,0,3,19,0,0,3.7258063961491525,0.8,0.4082216932022017
191,0,1,0,1,3,1,1,1,2,18,0,1,3.957683762879622,1.2,0.9763900609858727
192,1,5,2,2,1,3,1,0,4,17,0,1,3.549377452665411,1.2,0.8702576191411091
193,1,3,3,3,1,2,1,0,3,19,0,1,3.2491334848098474,0.8,0.7147365508860934
194,0,3,11,1,4,1,1,1,4,16,0,1,4.0,1.8,0.5867312347254242
195,0,4,4,4,3,1,0,0,3,16,1,0,3.6791616017117983,1.4,0.37609334354810225
196,0,9,0,3,2,1,0,0,4,17,0,1,4.0,2.2,0.7978461578081102
197,0,6,3,4,4,2,1,1,1,21,0,0,4.0,2.4,0.43329939702293785
198,1,6,4,1,2,2,1,0,4,16,0,1,3.2881861314258587,1.6,0.871874046510277
199,1,4,3,2,1,3,0,1,2,17,1,1,3.9328178636015547,1.4,0.6268280107036774
200,0,4,5,3,3,4,1,1,4,18,0,0,3.488184645681889,1.8,0.45650694353689486
201,0,0,7,1,1,4,1,0,4,19,0,0,3.6892801467181404,0.2,0.32626629075968877
202,0,2,0,1,1,4,1,1,1,20,1,1,4.0,1.0,0.5596670209944747
203,0,3,0,3,1,4,1,1,2,16,0,1,3.9181835860879795,1.2,0.847747509882157
204,1,0,4,2,3,3,0,1,2,17,1,1,4.0,1.0,0.5395898284617735
205,0,1,0,4,4,2,0,0,4,18,0,0,4.0,1.0,0.46439225452039856
206,0,0,0,3,2,3,0,0,3,18,0,0,4.0,0.4,0.09756321934107187
207,0,3,1,1,1,1,0,0,2,19,1,1,3.783043644434707,0.8,0.9364743286011481
208,0,5,5,3,2,2,1,0,2,19,0,0,3.6384385748488253,1.4,0.09287674119240485
209,0,6,0,3,2,2,0,0,3,18,1,0,3.653213147508784,1.6,0.13061358870605444
210,0,4,3,2,4,4,0,1,1,20,0,0,3.6895161084548587,2.0,0.19627085712571118
211,0,2,0,2,3,3,0,1,1,19,1,0,3.7915158278358794,1.4,0.3483992241149263
212,0,0,0,4,2,4,1,0,1,19,1,0,4.0,0.4,0.4055624262773188
213,0,0,1,3,4,2,1,0,2,16,0,0,4.0,0.8,0.029129938005032163
214,0,1,0,2,2,4,0,1,2,19,1,1,3.616680540919027,1.0,0.9621565752312584
215,0,2,5,2,1,1,0,0,3,20,1,1,3.8264398748206396,0.6,0.637336704647604
216,0,3,5,1,4,2,1,1,3,16,0,0,3.940892275963029,1.8,0.06745638174895624
217,0,1,4,2,3,1,1,0,3,18,0,1,4.0,0.8,0.5207906563563776
218,0,4,0,3,3,2,0,0,4,21,0,0,4.0,1.4,0.04206619373287368
219,0,3,2,3,1,4,0,1,1,18,1,1,4.0,1.2,0.536082034333933
220,0,4,0,1,1,2,0,0,2,17,1,1,3.7022899855799465,1.0,0.7648457524095453
221,0,6,0,1,2,2,1,1,3,20,1,0,4.0,2.0,0.438257908043838
222,0,1,2,1,4,3,0,1,2,17,0,1,4.0,1.4,0.5137453466711481
223,0,4,3,3,4,3,0,1,4,16,0,1,3.9247538002717666,2.0,0.6449425996348765
224,0,3,0,3,4,1,0,1,3,16,1,0,4.0,1.8,0.45064597921522076
225,0,3,1,4,4,3,0,1,3,20,1,0,4.0,1.8,0.010069453437547116
226,0,5,7,2,2,2,0,1,4,19,1,0,3.950836035701098,1.8,0.3811764922864564
227,1,5,1,1,4,3,1,0,1,18,1,0,4.0,1.8,0.1497636601372308
228,0,2,8,2,4,4,1,1,1,20,1,0,3.680393206203719,1.6,0.25088870983822453
229,1,3,14,2,3,3,1,1,2,18,0,1,3.29834714212942,1.6,0.7019212090687861
230,0,4,2,4,3,1,1,0,2,17,0,0,3.981335121607901,1.4,0.3236183027711541
231,0,3,1,3,2,2,1,1,3,19,0,0,3.8779981246248263,1.4,0.16747619775004308
232,0,5,4,2,1,4,1,0,1,17,0,1,3.086554217225123,1.2,0.8144639702888181
233,0,4,0,1,3,4,1,1,2,18,0,0,3.780599241962833,1.8,0.32605835985258014
234,0,7,0,1,1,1,1,1,1,16,0,1,3.360978336940285,2.0,0.938349856670728
235,0,0,4,3,2,3,1,1,2,16,0,0,3.863819380371173,0.8,0.1831792899042637
236,0,3,1,3,3,2,0,1,4,16,0,0,4.0,1.6,0.058694813355415265
237,0,2,0,3,3,1,0,0,4,17,1,0,4.0,1.0,0.18596410116409623
238,0,5,3,1,2,4,1,0,2,16,0,0,4.0,1.4,0.24725441783597357
239,0,0,3,3,4,4,1,0,4,16,0,0,3.9233321461863744,0.8,0.07199433434490066
240,0,4,0,4,2,4,0,0,1,17,0,0,4.0,1.2,0.2808363633444657
241,1,2,0,4,1,1,0,0,2,17,1,1,4.0,0.6,0.5637189420301183
242,1,2,0,1,1,4,0,0,4,16,1,0,3.594359239532581,0.6,0.0012904428886701957
243,1,1,1,4,4,2,1,0,2,16,1,1,3.6860231665956746,1.0,0.5249960541335212
244,0,3,4,2,2,4,0,0,1,18,0,0,3.7006401353068665,1.0,0.06397130337578238
245,0,6,3,3,2,1,1,0,1,18,0,0,3.398892558275688,1.6,0.07129550441501109
246,1,3,3,4,4,1,1,1,2,16,0,1,3.749659684192041,1.8,0.8899301170361185
247,0,5,0,3,2,4,0,0,2,18,1,0,4.0,1.4,0.046427226765212604
248,1,7,0,4,3,1,1,1,1,18,0,1,4.0,2.4,0.6103013128861259
249,1,4,0,3,2,3,0,0,2,17,1,1,3.643737254067006,1.2,0.5399722079287705
250,0,2,0,1,3,1,0,1,2,21,0,0,3.922246469769025,1.4,0.16321376172215168
251,0,4,0,2,2,3,0,0,2,20,0,0,4.0,1.2,0.4675136366559011
252,0,2,1,3,3,1,0,1,3,17,0,0,4.0,1.4,0.3554061316901354
253,0,2,0,2,1,1,0,0,1,17,1,1,3.6292818757107943,0.6,0.705492844504943
254,0,0,4,3,4,1,0,0,3,16,0,0,4.0,0.8,0.30339185882906994
255,0,5,4,1,1,4,0,0,3,20,0,1,4.0,1.2,0.9124614299511875
256,0,3,2,2,3,1,0,1,3,18,1,0,3.9053141700929235,1.6,0.3819951115997602
257,1,4,0,4,4,2,1,0,4,19,0,0,3.3525558210478987,1.6,0.19730832196472764
258,0,1,6,2,1,4,0,1,3,16,1,1,4.0,0.8,0.8355408211320077
259,0,4,10,3,1,3,1,1,2,19,1,1,3.496342631145702,1.4,0.6821433174470648
260,0,2,0,2,3,2,0,1,3,16,0,0,4.0,1.4,0.10291235542016197
261,0,3,3,1,2,2,1,0,4,19,1,0,4.0,1.0,0.24455095585836223
262,2,5,5,2,2,2,0,1,4,19,1,1,3.1999652529067,1.8,0.7021122408905989
263,0,5,2,2,3,2,1,1,3,17,1,0,4.0,2.0,0.2784364129846511
264,0,3,1,2,1,1,1,1,1,16,1,0,4.0,1.2,0.05158729344189811
265,1,0,1,4,2,1,1,1,2,18,0,1,4.0,0.8,0.8573742202195158
266,0,9,2,2,2,2,1,1,2,16,1,0,3.7850377422862405,2.6,0.06830604904478571
267,0,7,1,3,1,4,0,1,1,20,0,1,4.0,2.0,0.7689130543119216
268,0,5,7,3,3,2,1,1,2,16,0,0,4.0,2.0,0.0783484599209387
269,0,2,4,2,3,3,1,1,4,18,1,1,3.72431304889143,1.4,0.9271454288935254
270,0,3,0,2,2,2,0,1,4,16,0,0,3.8944196357496343,1.4,0.377875386343303
271,0,2,2,4,3,1,1,0,2,18,1,0,4.0,1.0,0.19849239620045506
272,0,6,3,1,1,3,0,1,1,16,0,1,3.632521870243959,1.8,0.5868666232853883
273,1,4,0,3,3,4,0,1,2,16,1,1,3.3395649702595254,1.8,0.7731979675587898
274,1,2,1,4,4,2,1,1,3,22,1,1,3.306876023435734,1.6,0.80818105490042
275,0,3,7,3,3,3,0,1,4,19,0,0,3.697292921662989,1.6,0.022334796549470015
276,0,6,2,3,3,2,0,0,4,18,1,0,4.0,1.8,0.461267009008361
277,0,7,0,2,3,4,0,0,3,19,1,0,3.8480376858187704,2.0,0.005308111908986113
278,0,7,0,3,4,4,1,0,4,18,1,0,4.0,2.2,0.020604009738236173
279,0,5,2,1,1,3,1,1,3,17,0,1,3.5467940802464706,1.6,0.8143370047725045
280,0,3,2,1,3,4,1,0,4,19,0,0,4.0,1.2,0.38839270404690757
281,1,0,1,1,2,3,1,0,1,16,0,0,3.57991133692284,0.4,0.2444336235054076
282,0,4,2,4,3,4,1,1,4,21,1,0,3.9485684072754648,1.8,0.25562905340833025
283,0,3,0,1,4,1,0,1,2,18,1,0,4.0,1.8,0.30853875902197303
284,0,4,0,1,4,3,0,1,2,19,0,0,3.2096543431190105,2.0,0.02008233085246036
285,0,4,2,3,2,2,1,1,2,21,0,0,3.338679740574004,1.6,0.47940098433648665
286,0,1,0,4,4,3,1,0,2,18,0,1,3.9812006549452974,1.0,0.7246835549755104
287,0,5,6,2,4,4,0,1,1,16,0,0,3.8732516899231673,2.2,0.4118357536424059
288,0,5,0,4,4,4,0,1,4,20,0,1,3.5715628616646136,2.2,0.9807971136396089
289,0,5,3,4,1,4,0,0,2,21,0,1,4.0,1.2,0.5515027203104722
290,0,5,1,2,4,2,1,0,4,16,1,0,3.642421743865596,1.8,0.08418153293553526
291,0,5,1,2,3,2,0,1,1,17,0,1,3.830310126705123,2.0,0.8539428667784321
292,0,3,4,2,2,4,1,0,3,18,1,0,4.0,1.0,0.09245597012619405
293,0,3,2,3,3,1,1,1,1,17,0,0,3.777473304864374,1.6,0.4563576936016481
294,0,4,3,3,3,3,0,1,2,16,0,1,3.7096455587004398,1.8,0.7237235026181497
295,0,4,2,3,2,4,0,1,1,16,1,0,4.0,1.6,0.1997586403520601
296,0,5,2,1,1,1,1,1,2,16,0,1,3.7570685854795203,1.6,0.8232201137101012
297,0,5,4,2,1,2,1,1,1,19,0,1,4.0,1.6,0.7734003953929233
298,0,8,2,3,4,4,0,0,2,20,1,0,4.0,2.4,0.2857197278164923
299,0,8,2,3,1,3,0,0,3,20,1,1,4.0,1.8,0.5931308920967457
300,0,4,4,4,1,3,1,0,3,17,0,1,4.0,1.0,0.8729740520005256
301,0,0,8,3,4,2,0,0,4,18,1,0,3.8042420894256197,0.8,0.33962540560515037
302,0,6,1,2,1,4,1,0,4,20,1,1,3.838783598713293,1.4,0.6408390314975587
303,0,2,2,2,1,4,0,1,1,17,0,1,3.9543415617651574,1.0,0.7987166103661805
304,0,2,0,1,4,4,0,1,3,16,0,0,3.151073985656048,1.6,0.1418354747418708
